review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
I'm glad we finally see some ambition. Graphics drop this game to an 8 or a 9 if you're not a Pokemon fan but I'm giving it a 10 because I want all the next Pokemon games to be as ambitious as this one,"Jan 30, 2022",10,32 of 38 users found this helpful,3 Reviews,3 Ratings,0.0
"incredible game, the best in the franchise, mixing the greatest mechanics from pokemon and open-world games in general","Jan 29, 2022",10,48 of 60 users found this helpful,3 Reviews,3 Ratings,0.0
it was simply awesome! The new mechanics are very fun and very welcomed after 20 years of the same formula! Must buy on the switch!,"Jan 30, 2022",10,35 of 42 users found this helpful,2 Reviews,2 Ratings,0.0
"Please don’t pay attention to the minority of poor reviews on this game, needless to say giving this game a “0” isn’t an accurate and gives no insight to how good it is. For someone who has played Pokémon since the very beginning, this game is what I’ve wanted since I was a kid. I’ve already put 20 hours into Legends Arceus and I can’t wait to continue playing.","Jan 30, 2022",10,57 of 68 users found this helpful,2 Reviews,3 Ratings,0.0
"I have been very prejudiced with this title and with its studio, this game takes the idea of catching pokémon to another level that we have never experienced in the main sagaI love how you can fight with any pokémon and that the battle environment is the same overworld, The difficulty is quite decent IMO.Despite what some say about its graphics, they are actually lovely.","Jan 29, 2022",10,50 of 68 users found this helpful,4 Reviews,9 Ratings,4.4
"The best Pokemon game of all Franchise, new formula, and everything in this Game is a hard work of Game Freak to bring us Legends Arceus, i can't stop play.","Jan 29, 2022",10,45 of 53 users found this helpful,2 Reviews,2 Ratings,0.0
"Mucho mas divertido, mejor hecho y entretenido que el ultimo Shin Megami Tensei V de la misma consola. Como he dicho antes muchas veces, el estado actual de Pokémon es mas que envidiable. Ya que en vez de continuar con la formula ganadora que siempre ha resultado adictiva, se han arriesgado en hacer algo nuevo, y les ha salido de perlas.","Jan 29, 2022",10,44 of 53 users found this helpful,5 Reviews,6 Ratings,6.7
"Es erfüllt genau die Fantasie die man hatte, als man als Kind die erste Generation gespielt hat.","Jan 30, 2022",10,31 of 38 users found this helpful,2 Reviews,2 Ratings,0.0
"This is what the franchise and the fans needed, amazing open world filled with Pokémon, best recent pokémon game by far.","Feb 28, 2022",10,0 of 0 users found this helpful,5 Reviews,16 Ratings,8.1
I never expected a pokemon game to grab me like the days of old. Been sort of going through the motions with previous titles of the mainline games but this one has me going deeper into it. Great to see the changes. Graphics be damned if the game is good it's ok it's not the prettiest one at the PokeBall.,"Jan 29, 2022",10,44 of 52 users found this helpful,4 Reviews,5 Ratings,9.6
"[SPOILER FREE REVIEW]Overall this game is pretty good. Even though the graphics and textures are not the best they're still okay. On the other hand, they put A LOT of effort into the characters models, pokémon and animations in general. The gameplay mechanics are also really refreshing compared to the predecessors and the story doesn't follow the typical Pokémon formula [Evil enemy team, get all badges & beat the champion]. I barely encountered any bugs and even when I encountered one it wasn't anything game-breaking and it didn't disturb that much. All in all, I enjoy this game a lot especially because my expectations weren't that high, so I was really surprised when the game turned out to be good. Important to know is that Gamefreak barely made any games that weren't top-down perspective before, so it definitely lacks some depth in terms of world design but that will definitely get better, the more games they make in this kind of style. It's really hard to change a whole developers studio workflow. Just like the old pokémon games the graphics will probably get better from game to game.About myself: The only Pokémon Games I've played were Firered, Let's go and Sword/Shield because I'm mainly a PC gamer. I know that there are things missing from old Pokémon games but from a non-biased non-nostalgic perspective, it's definitely an enjoyable gameplay experience.","Jan 29, 2022",10,53 of 70 users found this helpful,2 Reviews,2 Ratings,0.0
Il gioco mi è piaciuto tantissimo. La grafica non è granché e ci sono delle zone spoglie ma tutto sommato il gameplay ti intrattiene.,"Jan 29, 2022",10,44 of 54 users found this helpful,7 Reviews,8 Ratings,8.8
"Well, i think it's the best Pokemon Game since Gen 3, Story is great for a pokemon game too.","Jan 30, 2022",10,30 of 37 users found this helpful,1 Review,1 Rating,0.0
The game is a step in the right direction anyone who gave it anything under a 7.5 either didn’t play it or just a hater throwing out 0s all over,"Jan 29, 2022",10,49 of 61 users found this helpful,1 Review,1 Rating,0.0
"20 hours in and by far, the best Pokémon experience ever. The only drawback in the game is graphics but considering the game development cycle was only an year I don’t mind it. The character, story, Pokémon and soundtrack are great as well but definitely the best part of the entire game is the gameplay, They completely revamped the Pokémon Gameplay and it is worth it.","Jan 31, 2022",10,9 of 10 users found this helpful,4 Reviews,4 Ratings,9.8
"It's THE GREATEST Pokémon main series game in history. A little lacking but graphics are more advanced than the previous series, vast and moderately divided territories, fun to collect, proper fusion of existing series and actions, bosses of various patterns, sub-quests that do not interfere with main content, and dramatic stories! How can this game be boring? I was able to feel with my whole body that GameFreak worked hard!","Jan 29, 2022",10,65 of 78 users found this helpful,1 Review,1 Rating,0.0
"awesome game, i recomend it for all pokemon fans. Innovative game.❣️good job GAME FREAK","Jan 30, 2022",10,32 of 38 users found this helpful,1 Review,1 Rating,0.0
Loving the game!! Not the best graphics but a step in the right direction I love being able to roll off mountains I do wish there was a jump button but I am enjoying the game right now and I can’t wait for a future versions,"Feb 1, 2022",10,7 of 9 users found this helpful,1 Review,1 Rating,0.0
"Le jeu commence par nous mettre le doute au début quand on se rend compte que graphiquement est vraiment pire que ce qui se disait. Mais une fois imprégné de son gameplay, on est foutu ^^. Je suis à 84 heures, et ce jeu ne me lâche plus, c'est tellement prenant et addictif, avec cette envie constante de savoir quel Pokémon manque dans mon Pokédex et comment le passer en complet. Un plaisir après 80 heures que je veux retenir, qui a effacé les premières heures de doutes face à l'aspect visuel.","Feb 6, 2022",10,3 of 4 users found this helpful,4 Reviews,4 Ratings,4.3
"Dei migliori giochi Pokémon fino ad oggi, posso ottenere pochi punti negativiAdoro giocarci con mia figlia di 6 anni, ci divertiamo così tanto.","Jan 29, 2022",10,46 of 56 users found this helpful,2 Reviews,14 Ratings,1.4
"Just good, there aren't many other words to describe how well Game Freak has managed to deal with a new style of game. After polishing and improving the current system for years.Its a game that everyone has to play, only playing it is understood because despite the average graphics, one falls in love and has it fixed on the screen.","Jan 29, 2022",10,45 of 53 users found this helpful,1 Review,17 Ratings,2.9
"To limit the quality of this game only to the graphics is to think in a very reductionist way, it is to limit the discourse in a mononeuristic direction that doesnt benefit anyone or seek any solution, only to complain in a destructive way without any reason.This game is surprisingly fun, vast and full of things to do, once you start the journey, it's hard to get off until you finish it.The prejudice that the general community has for the game could not be better described than with the word Unfair.Play it, and you'll know what I mean.","Jan 29, 2022",10,44 of 52 users found this helpful,8 Reviews,19 Ratings,4.2
"Pokémon Legends: Arceus innovates and moves the Pokémon franchise in many ways. Pokémon battle transitions seamlessly take place in the overworld, and only happen when you throw out one of your Pokémon’s Pokéball. This removes annoying random encounters, but there’s still danger to traversing the wild. Aggressive Pokémon will attack you! It’s pretty difficult. Battle animations have received an overhaul and now look super cool and actually run over and hit each other. They are also properly sized, and wild Pokémon are now more powerful. There are side quests as well. This is a super good game that you should buy.","Feb 1, 2022",10,14 of 15 users found this helpful,1 Review,1 Rating,0.0
"A game completely up to the circumstances and that meets every expectationPokémon on Switch is simply on fire, with each game the franchise gets better.","Jan 29, 2022",10,44 of 52 users found this helpful,1 Review,13 Ratings,1.5
"El tutorial me parece estándar dentro de la franquicia, accesible y explica todo bien, no es necesariamente malo que dure algunas horas, porque en un RPG tan complejo de masterizar como es Pokémon, es necesario aclarar todo antes de dejarte rienda suelta al jugador.Explorar el mundo es un deleite, tanto por los colores, la hermosa vegetación, y la cantidad apabullante de pokémon que interactúan y EXISTEN dentro del entorno, tal cual como lo haría un animal en la vida real.El sistema de combate ha sido simplificado, pero de manera concienzuda para ser mas difícil respecto al reto de pokémon mas salvajes, algo que en toda la saga ha sido demasiado fácil.La progresión, las misiones, todo te hace experimentar cosas nuevas, y los personajes están hechos con mucho mimo.Yo recomendaría no quedarse solo con los gráficos, este juego es mucho mas que eso, y los que de verdad aprecian Pokémon, y comprendan sus tradiciones, gozaran como unos críos.La opinion mas correcta es celebrar este titulo como algo grande.","Feb 1, 2022",10,44 of 52 users found this helpful,2 Reviews,13 Ratings,1.5
"One of the best games that Game Freak has made along with Emerald, Platinum, Ultra Moon and Shield+Expansion.The leap in quality they have made in such a short time is incredible.","Jan 29, 2022",10,43 of 51 users found this helpful,1 Review,13 Ratings,1.5
"This game is exactly what pokemon needed. Is not perfect, but the new mechanics and the freedom are too good. Imagine explore Kanto with this formula, please, gamefreak, this is the way.","Jan 29, 2022",10,47 of 58 users found this helpful,1 Review,2 Ratings,0.0
"I have been told that it is a game very similar to BotW, but when I finished it last night, it was the complete opposite.This game does have a good story devoid of filler characters, if it has a world with interesting things to do more than the empty plains of the game with which it is compared. And instead of being filled with hundreds of shrines and kologs, each Pokémon to catch is a new experience and challenge without falling into monotony.I love Pokémon Legends and everything that is proposed, and the comparisons seem more than hateful to me, it has nothing to do with BotW nor will it have it, its a game that in its own style knows how to stand out and be memorable.","Jan 29, 2022",10,47 of 57 users found this helpful,2 Reviews,13 Ratings,1.5
"Excelso, divino y muy adictivo, así describo la forma en la que fue la aventura de Leyendas Arceus.Respecto a Let's Go que fueron sin duda para mi los juegos mas flojos de la saga principal, PLA sigue el camino de Espada y Escudo en ser otro gran representante de Pokémon en una consola de alta definición.","Jan 29, 2022",10,45 of 59 users found this helpful,2 Reviews,13 Ratings,1.5
"I am loving it! The battle mechanics are fun. The only downside for me is the graphics. Overall, a breath of fresh air for the franchise.","Feb 5, 2022",10,36 of 44 users found this helpful,1 Review,1 Rating,0.0
"Great game, get it right now grrrrrrrr you better buy it because it’s good and my review is this long because I can’t make it shorter","Jan 29, 2022",10,52 of 69 users found this helpful,6 Reviews,6 Ratings,7.7
"Pokemon va por buen camino en su renovación. Gráficos aparte es un gran juego. En jugabilidad y sobretodo en dinamismo. Se hace muy dinamico el capturar y entrar en combate, que era lo que mas pesado se me hacia de las anteriores entregas.","Jan 29, 2022",10,52 of 68 users found this helpful,1 Review,1 Rating,0.0
Best game ever I really love the graphics and everything about it's great this might just be my favorite game of all time,"Jan 30, 2022",10,44 of 53 users found this helpful,1 Review,1 Rating,0.0
"Pokémon Legends: Arceus is objectively the best Pokémon game since HeartGold & SoulSilver. Since the series' gradual decline into stagnation and mediocrity starting with Black & White, it felt like there was no hope for Pokémon games to be good again, each title was getting worse and worse. Then comes Legends: Arceus, a brand new spin on the tired and overdone Pokémon formula, with a world that actually feels open and alive and gameplay that doesn't bore you to death. Legends: Arceus also brings a plethora of actual QOL changes to the franchise that Masuda and Ohmori were hesitant to bring, such as being able to learn moves whenever you want, and completely reworking the terrible, bloated EV/IV/Nature system that Ruby & Sapphire introduced. Kazumasa Iwao is the kind of person that needs to be in charge of the main series Pokémon games from now on. The fact that SwShills are attacking this game for actually having an ounce of effort put into it and actually... well... being a good game, just shows that Legends: Arceus is the kind of change the series needed. Hopefully Generation 9 will follow in the footsteps of Legends: Arceus.","Jan 29, 2022",10,49 of 64 users found this helpful,5 Reviews,5 Ratings,6.0
"Gameplay is incredible, it’s a mix of Zelda Breath of the wild exploration in the vast over-world and Monster hunter style concept with the Pokemon charm. Totally blew me away. The story is top notch, the best Pokemon game ever released. It’s everything I wanted Pokemon to be when going 3D.","Jan 29, 2022",10,49 of 63 users found this helpful,1 Review,1 Rating,0.0
"Gran juego, la gente que se queja tanto es pq desde hace siglos les dejó de gustar la saga","Jan 29, 2022",10,47 of 58 users found this helpful,1 Review,1 Rating,0.0
La verdad es que este Pokémon a diferencia de muchos otros consigue cambiar la esquemática de Pokémon haciendo que las mecánicas y la historia de fondo sean mucho mas disfrutables. Sin duda una increíble mejora desde el juego pasado,"Jan 29, 2022",10,47 of 58 users found this helpful,1 Review,1 Rating,0.0
"Huge step in the right direction! With PLA as a foundation, the future of Pokémon games looks bright. It’s not perfect and I understand the qualms regarding the graphics and lack of voice acting. However, this is a MAJOR improvement over the lackluster and lazy Sword & Shield and I am having a blast. If you’re on the fence, I recommend giving it a chance. I would’ve given it an 8 or 9, but since so many trolls are review bombing it, I’m bumping it to a 10 to try and balance it out. Most fun I’ve had in a Pokémon game since Red & Blue.","Jan 29, 2022",10,63 of 75 users found this helpful,1 Review,1 Rating,0.0
"el mejor juego de pokemon que he jugado, muy entretenido e historia espectacular","Jan 29, 2022",10,45 of 54 users found this helpful,1 Review,1 Rating,0.0
"Normally I'd give this game a 8, but since everyone is giving zeros........","Jan 29, 2022",10,48 of 58 users found this helpful,1 Review,1 Rating,0.0
"This is the best Pokémon game I’ve ever played. It’s everything I always dreamed of since I was a kid playing Red/Blue. Yes, the graphics could be better, but the game is so much fun that it makes up for it. I’m so happy that Game Freak finally left their comfort zone and tried something new. I’m in love with this game and can’t stop playing it!","Jan 29, 2022",10,46 of 55 users found this helpful,1 Review,1 Rating,0.0
this is the pokemon game i have looking for since a kid. despite the bad graphic this game is insanely good for me,"Jan 29, 2022",10,45 of 54 users found this helpful,1 Review,1 Rating,0.0
"Overall this game is a great stepping stone for the Pokémon Franchise as a whole. The mechanics and gameplay are phenomenal and I feel this is a great starting point for the games going forward. All of my friends who have picked up this game absolutely love the game and are having a blast.Anyone who has rated this game a 0 you are just review bombing this game. You have absolutely nothing to complain about, Nintendo did a great job showing off all kinds of different videos showing off gameplay.","Jan 29, 2022",10,46 of 55 users found this helpful,1 Review,1 Rating,0.0
jajajajajajajaj take this haters bueno no e comprado el juego pero de verdad quiero jugar un pokemon con buena nota asi que hare esto,"Jan 29, 2022",10,46 of 55 users found this helpful,1 Review,1 Rating,0.0
Best Pokémon Game in a long long time. A fresh take on Pokémon is just what was needed. Good gameplay.,"Jan 29, 2022",10,47 of 57 users found this helpful,1 Review,1 Rating,0.0
"I really liked it, it may not be a graphic masterpiece but it's a lot of fun, the changes are positive, and because they are positive, they tend to stay and be improved in the future. Do not take seriously the opinion of those who have not played and simply say that it is not worth it because of the graphics (you can be sure that if someone said that the game is not good because of the graphics that person did not play). Go play and see how fun the game isIt's an important step for franchising. They've been trying to evolve a 25 year series and they're on the right track, thinking so Pokemon Legends Arceus can almost be called a successful draft. I highly recommend it to anyone who is a fan of the franchise, who doesn't play pokemon and doesn't have the weight of nostalgia probably won't be enchanted by the game.","Jan 29, 2022",10,57 of 67 users found this helpful,1 Review,1 Rating,0.0
"This game demands improvements, and it is not perfect. However, what it is is a game filled with wonder, exploration, and fun. A hope for future entries to build on top of the foundation that is Pokemon Legends: Arceus and join other A-list Nintendo games such as Breath of the Wild, Metroid Dread, Xenoblade 2, and so on. PLA steals my attention with its smooth and seamless gameplay, numerous side missions and monsters to tame, absolutely GORGEOUS music, along with a difficulty curve that is refreshing for long time players seeking a challenge. Alpha Pokemon are especially fun and quite the challenge, and had me going, ""oh **** oh **** oh ****!"" the first time I ran into one. Graphics are.. lacking, sure, but not nearly as bad as some may say; in fact, some areas are beautiful enough to be worthy of a screenshot. The art direction is reminiscent of ancient Japanese ink paintings (which I believe was deliberate considering the era in which PLA takes place).. anyone who has played Okami will surely recognize this style. This is a game that can prove to deniers that graphics are not solely what makes a gaming experience great or special. I am 15 hours in and still without facing the first noble, and have not felt any inkling of boredom in the slightest. I can easily see myself spending many hours exploring and discovering. Give this game a go, it is absolutely worth the price!","Jan 29, 2022",10,60 of 73 users found this helpful,1 Review,1 Rating,0.0
"I usually don't leave ratings.This is a solid 8/10Very addictive.Obviously, there are some issues, including the lackluster graphics, the barren landscapes, etc...Giving it a 10 to counteract the 0-3 scores given.","Jan 29, 2022",10,49 of 58 users found this helpful,2 Reviews,2 Ratings,0.0
"Pokémon Legends: Arceus manages to re-work the stale formula of the mainline Pokémon series which hasn't been well received in nearly two decades. The game finds a way to blend more Pokémon Go-esc mechanics with the traditional Pokémon battle system almost seamlessly into open environments to the point where I never got tired of trying to catch everything I could find.Unfortunately, the game does have to make some sacrifices to allow for its likely short development time due to the Pokémon Company's eagerness to get games out quickly. This is most apparent when judging the game from a graphical perspective which, for a game that feels like it should like nice due to its attempts at BOTW-esc environments, it absolutely fails... look at it more as if BOTW were for the Wii (although do keep in mind that footage of the game likely looks far worse than the game itself since for example Youtube compression hardcore messes up the grass) . Additionally, there are only about 240 or so Pokémon which is seems a little disappointing but considering they actually gave them new animations and worked them into the game's world that much more would just feel impossible to implement in only a few years.Regardless of its flaws, the game still comes out to be a ton of fun with its new gameplay loop and intriguing story and still earns a high rating in my book.","Jan 29, 2022",10,44 of 52 users found this helpful,1 Review,1 Rating,0.0
Pokémon Legends Arceus is a great game amazing open world feels like a true RPG catching Pokémon is better than ever Pokémon models are great the Pokémon battles are amazing This game is a new positive direction to the Pokémon franchise also the Exploration is amazing and is very rewarding the ranks are nice. Arceus is a great visual game with the mechanics of the game not being repetitive at all. The story is great and the unique pokemon to the game are the most coolest things you ever saw Overall Pokémon Legends Arceus is one of the best Pokémon games ever that I recommend buying.,"Jan 29, 2022",10,74 of 93 users found this helpful,1 Review,1 Rating,0.0
"The fans can never be happy. This game is fun and can bring new fans. This game doesnt repeat what the last previous games has done. Only problem is that it doesnt have good draw distance. However, this game is fun better then other games and will always be criticized because fans arent happy to get what they want. Sword and shield wasnt that bad of a game. People who dont play these games also criticized without proof (angry joe is definitely one of them because he claimed this is for kids yet he played animal crossing) so rating 9.5 but definitely a 10 because of its good story","Jan 29, 2022",10,45 of 53 users found this helpful,1 Review,1 Rating,0.0
The new system gives very new fun. The fun of collecting has doubled than before. Difficulty levels bring interest to the game.,"Jan 29, 2022",10,44 of 52 users found this helpful,1 Review,1 Rating,0.0
Best Pokemon game in a decade. This is what fans have been wanting for years. The catching and battling mechanics feels so good!,"Jan 29, 2022",10,43 of 52 users found this helpful,1 Review,1 Rating,0.0
"Esta muy bueno y es la dirección correcta que debe seguir la franquicia. Ojalá para el próximo juego puedan arreglar las carencias gráficas, pero manteniendo todas las mecánicas de este titulo y profundisarlas.","Jan 29, 2022",10,44 of 52 users found this helpful,1 Review,1 Rating,0.0
"What an amazing game, the gameplay is just so fluid, it is the first pokemon game that makes you want to complete the pokedex. This game is a wonderful step forward to this franchise, the difficulty level is just perfect, you can get over-levelled, but the wild pokemon constantly tag team you, making it a 2v1 or maybe a 3v1.The greatest flaw of this game is its graphics, some textures are actually really ugly, the moves are actually pretty beautiful, but sometimes the trees, or even the pokemon are not that good looking. Besides, the fps constantly decreases, but not in a way that bothers you a lot.Since the game changes a lot the core mechanics, this game is easily the most noob-friendly game of the franchise, making the player learn about pokemon as they play.Overall, pokemon legends arceus is a fantastic game with fantastic mechanics, it's the closest we ever got to the dream pokemon game. It's not a 10/10 because we know the graphics can be better, but every single aspect of this game makes me want to play it even more.Update: What a fantastic ending arc, now this game is indeed a 10/10","Jan 29, 2022",10,49 of 58 users found this helpful,1 Review,1 Rating,0.0
Excellent game! Visuals do not distract from the incredible gameplay flow. The best story and gameplay loop the series has ever had.,"Jan 30, 2022",10,45 of 53 users found this helpful,1 Review,1 Rating,0.0
A new world to experience. Love the new features. It's worth my time. I really enjoyed it.,"Jan 30, 2022",10,44 of 52 users found this helpful,1 Review,1 Rating,0.0
"The gameplay elements are very fun and interesting in this game and are a big step forward for the series, though the graphics could improve.","Jan 30, 2022",10,44 of 53 users found this helpful,1 Review,15 Ratings,4.0
Botw graphics + the pokemon we always wanted. I hope gamefreak continue this way and make a AAA game with this formula.,"Feb 4, 2022",10,42 of 50 users found this helpful,1 Review,1 Rating,0.0
A really nice game for anyone who has been complaining about these games for the past few generations,"Jan 30, 2022",10,44 of 53 users found this helpful,1 Review,1 Rating,0.0
"Independientemente de los graficos que son algo feos, el juego es una joyita, es atrapante y muy divertido, buenas mecanicas, buen gameplay, buena duración y una historia bastante buena, para mi es 10/10.","Feb 1, 2022",10,11 of 13 users found this helpful,1 Review,1 Rating,0.0
"Le nuove introduzioni open world style di gameplay in un gioco pokemon prendono il sopravvento tale da non farti stancare mai di giocare. Storia avvincente, misteri da scoprire e ottima quantità di contenuti. Questo deve essere il futuro della serie.","Jan 30, 2022",10,34 of 41 users found this helpful,1 Review,1 Rating,0.0
Most fun i had in a while with a pokemon game. The new mechanics are really cool and it really feels like you are a part of the game. Huge step in the right direction and im so excited to see what they will bring in the future.,"Jan 30, 2022",10,34 of 40 users found this helpful,1 Review,1 Rating,0.0
graphics dont make a game. people expect to much. people call themselves pokemon fans but cant see the potential leaking out of this game for the future. great game it takes the best of lets go parts and the main series game and throws them together in an exciting way. ive put 20 hours into the game so far and stilll get excited everytime i see a new pokemon. the distortion rifts add a fun way to get rare items and pokemon that make sense to the story as well as gameplay. the dodge machanic is also a feature that works well from the story letting you know that the world is dangerous and we dont know much about it. Music is great. Gameplay great. Story is great 10/10 game imo great changes for future titles in this,"Jan 30, 2022",10,34 of 41 users found this helpful,1 Review,1 Rating,0.0
This is the most interesting game. The graphic is very good and theres are funny asdfk;,"Jan 30, 2022",10,35 of 42 users found this helpful,1 Review,1 Rating,0.0
"Es justo lo que necesitaba la franquicia, espero que estas bases consoliden el futuro de Pokémon porque es la dirección correcta.","Jan 30, 2022",10,34 of 41 users found this helpful,1 Review,1 Rating,0.0
A perfect example of Pokémon and it’s what I wanted after seeing the first episode of the anime. Even with the technical limitations of the Switch it expands the series in a great new direction and sets a roadmap for the future.,"Jan 30, 2022",10,34 of 43 users found this helpful,1 Review,1 Rating,0.0
Fun 11/10 we all have eyes but gameplay ist still the most important think. And its great! Botw feelings,"Jan 30, 2022",10,35 of 42 users found this helpful,1 Review,1 Rating,0.0
Best Pokemon experience I've had since b2w2. I started the series with Yellow so I am ecstatic about this direction,"Jan 30, 2022",10,32 of 38 users found this helpful,1 Review,1 Rating,0.0
"Best game of pokemon by far, this is a great change for franchise, we have to support this type of big changes and not destroy it with ridiculous ratings without non sense.","Jan 30, 2022",10,33 of 39 users found this helpful,2 Reviews,2 Ratings,0.0
"Es lo que llevaba pidiendo des de hace tiempo. Los gráficos son duros de ver, pero es lo que la saga necesitaba des de hace siglos. Este es el camino que deberían seguir de ahora en adelante. Por fin se hace incapié de verdad en el lore. La nota está gigainflada pero yo que se.","Jan 30, 2022",10,29 of 35 users found this helpful,1 Review,1 Rating,0.0
"Pokémon Legends Arceus is the greatest surprise for me in the last years of playing Pokémon. I expected a game with small content, horrible graphics and a middle quality-gameplay. What i got was a lot of content, graphics that are okay and a gameplay that has a higher quality than i could dream of. I really hope that we'll get a second part in a few years, because i didn't feel such a joy while playing pokémon for at least the last ten years.","Jan 30, 2022",10,33 of 41 users found this helpful,1 Review,1 Rating,0.0
"This is format I'd like to see for future Pokemon games, freedom to explore, no tedious walking through grass and constantly encountering Pokemon. The effort point system is miles ahead of the old system, changing moves on the fly in the menu is amazing. The only downside is that it can be hard to see some Pokemon from a distance. Also moving forward we should go into a more voice acted approach for these games because it can seem a bit quiet.","Jan 30, 2022",10,32 of 40 users found this helpful,1 Review,1 Rating,0.0
Thought i would not like it. Turns out to be one of the best switch games so fae!,"Feb 2, 2022",10,3 of 4 users found this helpful,1 Review,1 Rating,0.0
"This is, by far, the greatest Pokémon game ever made. I really hope they continue the trend of doing corresponding Legends games for each existing generation.","Jan 30, 2022",10,32 of 38 users found this helpful,1 Review,1 Rating,0.0
"By far one of the most enjoyable Pokémon games I’ve played, going all the way back to Red and Blue. I do miss having a lot of trainer battles, however, the new mechanics introduced in the game and the story have made the game very enjoyable. I hope they can continue off of this game and make more with the new features that were introduced.","Jan 30, 2022",10,31 of 38 users found this helpful,2 Reviews,2 Ratings,0.0
Arceus is the game we’ve all wanted since we were little I’ve been playing for 20 years now and this is a refreshing and exciting take on the franchise.,"Jan 30, 2022",10,32 of 38 users found this helpful,1 Review,1 Rating,0.0
"The gane Is awesome, this Is the Pokémon what needs to transform in a better experience.","Jan 30, 2022",10,32 of 40 users found this helpful,1 Review,1 Rating,0.0
"Best pokemon game of all time!!!!! Chupem haters! Mandaram muito bem, dessa vez.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
As a lifelong fan from playing Pokémon yellow at 5 years old to Pokémon legends arceus… Wow just wow. Okay this game if you love the franchise or even new. Beautiful addicting gameplay that offers an amazing experience,"Jan 30, 2022",10,32 of 38 users found this helpful,1 Review,1 Rating,0.0
Très bon jeux enfin un jeux pokemon avec du vrai contenu. Un jeux où du fun peu être senti. Qqch que je n'avais pas résenti depuis pokemon Noire et Blanc.,"Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"Insanely good game, it's a really unique and amazing experience, there are so many cool new features that could partly even make it into the main series because of how good of an improvement they are. Im not even close to finishing the game, especially storywise because im busy completing dex entries, but i can alr tell you its more than worth it to check it out, huge recommendation even to non pokémon fans.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"I now have 18 hours of gameplay in the new Pokemon. And it's more fun than it's been in a long time. The fluid gameplay between catch, fight and explore is just awesome. Yes, Gamefrak didn't put much effort into the graphics and preferred to put their resources into the reorientation of the gameplay, that would be the only point of criticism for me. Otherwise, the new Pokemon convinces me all along the line!","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"It is very close to the Pokemon game that everyone has dreamed of for years. It is a rather innovative game compared to the usual main series, in which the company acts boldly. The quality of the animations this time and the fact that it offers a very fluid game experience in the open area were the aspects I liked the most. I really liked this game.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
Hands down the best Pokemon game ever made. It's everything you ever wanted. Can't wait for this series to continue!,"Jan 30, 2022",10,31 of 38 users found this helpful,2 Reviews,2 Ratings,0.0
"Of course that's not my true rating, but until people will be allowed to vote 0, which isn't realistic for any game, I will have to give a fake vote for balancing.It's an addictive game and really fun, despite technical blunders.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"A fantastic departure from the same ol tired formula. It may not be the most visually impressive game, but graphics never made a game truly great to begin with. The poke collecting/adventuring/battling all feels fresh and fun. The world is incredible and all the lore tidbits are going to please any long term pokefanatic.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"The best Pokemon game ever made, finally after 26 years GF shaked up the formula and it worked!!The game looks terrible, but it's still a masterpiece","Jan 30, 2022",10,31 of 38 users found this helpful,2 Reviews,2 Ratings,0.0
"Best Pokemon game ever. Really laid the groundwork for the future games.Free roam is what we have always wanted, and the updates to the move pool system, the graphics, everything is awesome. Only wish HP was kept the same.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
This is a step in the right direction. Hopefully they incorporate some of these mechanics into the next generation,"Jan 30, 2022",10,30 of 36 users found this helpful,1 Review,1 Rating,0.0
"Pokemon Legends: Arceus is not only an incredibly fun game, it's an incredibly fun Pokemon game. That means something especially when, up until now, releases of new Pokemon games have gone more stale than old bread. It changes almost all the mechanics which made the Pokemon games monotonous and tedious, and changed them into really fun mechanics. It's story elements is very well mixed into gameplay and while the game is not on par with the likes of Fable or Skyrim as RPGs, it is still a fun experience and a definitive step in the right direction. If you haven't tried Pokemon yet, this is the game to try. If you are a long-time fan of the series like myself, you'll feel a sense of astonishment that a Pokemon game can actually be enjoyable. Game Freak and the Pokemon Company have finally listened to fans woes. It must be noted that the game's graphics can be hit or miss at times with some animations looking like stop motion. This hasn't taken away from the experience though.","Jan 30, 2022",10,31 of 38 users found this helpful,1 Review,1 Rating,0.0
"Fun new Pokémon experience. I think the graphics get entirely too much hate. Aside from one particularly ugly cloud, everything looks nice and has a watercolor sort of feel to it. Can easily sink over 50 hours into it, and the core gameplay loop is fun.","Jan 30, 2022",10,25 of 31 users found this helpful,1 Review,1 Rating,0.0
Jogo fantástico. Experiência que toda pessoa quis desde que lançou pokemon. História boa. Gráficos do cenário meio ruins mas dos pokemons são fantásticos. Jogabilidade é experiência perfeitas. Tenho 29 anos e me apaixonei pelo jogo dos monstrinhos,"Jan 30, 2022",10,25 of 31 users found this helpful,1 Review,1 Rating,0.0
